time,value
13:53:47,5.0140
13:53:47,5.0160
13:53:47,5.0240
13:53:48,5.0140
13:53:48,5.0090
13:53:48,5.0050
13:53:48,5.0170
13:53:49,5.0140
13:53:49,5.0160
13:53:49,5.0150
13:53:49,5.0180
13:53:50,5.0070
13:53:50,5.0180
13:53:50,5.0120
13:53:50,5.0130
13:53:50,5.0110
13:53:51,5.0120
13:53:51,5.0170
13:53:51,5.0150
13:53:51,5.0110
13:53:52,5.0200
13:53:52,5.0110
13:53:52,5.0160
13:53:52,5.0150
13:53:53,5.0160
13:53:53,5.0170
13:53:53,5.0110
13:53:53,5.0190
13:53:54,5.0180
13:53:54,5.0210
13:53:54,5.0110
13:53:54,5.0150
13:53:55,5.0120
13:53:55,5.0120
13:53:55,5.0160
13:53:55,5.0120
13:53:56,5.0160
13:53:56,5.0190
13:53:56,5.0160
13:53:56,5.0200
13:53:56,5.0130
13:53:57,5.0210
13:53:57,5.0160
13:53:57,5.0130
13:53:58,5.0130
13:53:58,5.0120
13:53:58,5.0160
13:53:58,5.0080
13:53:59,5.0140
13:53:59,5.0070
13:53:59,5.0130
13:53:59,5.0160
13:54:00,5.0140
13:54:00,5.0140
13:54:00,5.0180
13:54:01,5.0130
13:54:01,5.0160
13:54:01,5.0150
13:54:01,5.0090
13:54:02,5.0210
13:54:02,5.0170
13:54:02,5.0140
13:54:03,5.0090
13:54:03,5.0100
13:54:03,5.0080
13:54:04,5.0100
13:54:04,5.0070
13:54:04,5.0090
13:54:05,5.0090
13:54:05,5.0050
13:54:05,5.0090
13:54:05,5.0080
13:54:05,5.0050
13:54:06,5.0010
13:54:06,5.0160
13:54:06,5.0110
13:54:07,5.0160
13:54:07,5.0160
13:54:07,5.0120
13:54:08,5.0130
13:54:08,5.0110
13:54:09,5.0080
13:54:09,5.0120
13:54:09,5.0100
13:54:09,5.0150
13:54:10,5.0110
13:54:10,5.0120
13:54:10,5.0090
13:54:10,5.0110
13:54:11,5.0080
13:54:11,5.0160
13:54:11,5.0150
13:54:11,5.0150
13:54:12,5.0040
13:54:12,5.0000
13:54:12,4.9960
13:54:12,5.0130
13:54:13,5.0140
13:54:13,5.0130
13:54:13,5.0160
13:54:13,5.0210
13:54:14,5.0390
13:54:15,5.0600
13:54:15,5.0540
13:54:15,5.0600
13:54:16,5.0570
13:54:16,5.0460
13:54:16,5.0520
13:54:16,5.0640
13:54:17,5.0750
13:54:17,5.0840
13:54:17,5.1080
13:54:17,5.1250
13:54:18,5.1290
13:54:18,5.1360
13:54:18,5.1370
13:54:18,5.1330
13:54:19,5.1460
13:54:19,5.1430
13:54:20,5.1060
13:54:20,5.1120
13:54:23,5.1000
13:54:23,5.0530
13:54:23,5.0580
13:54:23,5.0620
13:54:24,5.0580
13:54:24,5.0530
13:54:24,5.0600
13:54:24,5.0520
13:54:25,5.0620
13:54:25,5.0850
13:54:25,5.0940
13:54:25,5.1030
13:54:26,5.0980
13:54:26,5.1020
13:54:26,5.1040
13:54:26,5.1000
13:54:27,5.0960
13:54:27,5.1020
13:54:27,5.0820
13:54:28,5.0750
13:54:28,5.0710
13:54:28,5.0770
13:54:29,5.0780
13:54:29,5.0790
13:54:29,5.0770
13:54:30,5.0770
13:54:30,5.0820
13:54:30,5.0850
13:54:30,5.1060
13:54:31,5.1000
13:54:31,5.0980
13:54:31,5.1080
13:54:32,5.1080
13:54:32,5.1170
13:54:32,5.0960
13:54:33,5.0880
13:54:33,5.0840
13:54:33,5.0850
13:54:33,5.0800
13:54:34,5.0800
13:54:34,5.0830
13:54:34,5.0810
13:54:34,5.1180
13:54:35,5.1220
13:54:35,5.1090
13:54:36,5.0920
13:54:36,5.0840
13:54:36,5.0750
13:54:36,5.0820
13:54:37,5.0830
13:54:37,5.1100
13:54:37,5.1120
13:54:37,5.1180
13:54:38,5.0890
13:54:38,5.0980
13:54:38,5.0920
13:54:38,5.0920
13:54:39,5.0980
13:54:39,5.1080
13:54:39,5.1080
13:54:39,5.1120
13:54:40,5.1050
13:54:40,5.1090
13:54:40,5.1170
13:54:40,5.0970
13:54:41,5.0880
13:54:41,5.0870
13:54:41,5.0970
13:54:41,5.0950
13:54:42,5.1180
13:54:42,5.1100
13:54:46,5.1180
13:54:47,5.0970
13:54:47,5.1160
13:54:47,5.1210
13:54:48,5.1190
13:54:48,5.1350
13:54:48,5.1210
13:54:48,5.1140
13:54:49,5.0920
13:54:49,5.0920
13:54:50,5.0950
13:54:50,5.1060
13:54:50,5.0980
13:54:51,5.0910
13:54:51,5.0900
13:54:51,5.0920
13:54:51,5.0920
13:54:51,5.0830
13:54:52,5.0920
13:54:52,5.0840
13:54:52,5.0850
13:54:53,5.0770
13:54:53,5.0780
13:54:53,5.0880
13:54:53,5.0830
13:54:54,5.0920
13:54:54,5.0940
13:54:54,5.1000
13:54:54,5.1010
13:54:54,5.1030
13:54:55,5.1010
13:54:55,5.1010
13:54:55,5.1080
13:54:56,5.1150
13:54:56,5.1190
13:54:56,5.1270
13:54:57,5.1350
13:54:57,5.1270
13:54:57,5.1320
13:54:57,5.1170
13:54:58,5.0990
